AI Security Log Analyzer Report
========================================
Total events analysed: 1239
Anomalies detected: 25

2026-03-01 00:19:00 | user=guest | ip=192.168.1.27 | location=UK | device=Shared-Kiosk | success=0 | score=-0.0860
2026-03-01 00:35:00 | user=admin | ip=10.0.0.12 | location=UK | device=Admin-Workstation | success=1 | score=-0.0466
2026-03-01 01:08:00 | user=bob | ip=192.168.1.30 | location=UK | device=Desktop-PC | success=1 | score=-0.0349
2026-03-03 01:30:00 | user=alice | ip=198.51.100.77 | location=US | device=Unknown-Host | success=0 | score=-0.0593
2026-03-03 01:30:25 | user=bob | ip=198.51.100.77 | location=US | device=Unknown-Host | success=0 | score=-0.0626
2026-03-03 01:30:50 | user=charlie | ip=198.51.100.77 | location=US | device=Unknown-Host | success=0 | score=-0.0631
2026-03-03 01:31:15 | user=guest | ip=198.51.100.77 | location=US | device=Unknown-Host | success=0 | score=-0.0774
2026-03-03 01:31:40 | user=admin | ip=198.51.100.77 | location=US | device=Unknown-Host | success=0 | score=-0.0783
2026-03-03 01:32:05 | user=service_desk | ip=198.51.100.77 | location=US | device=Unknown-Host | success=0 | score=-0.0870
2026-03-03 01:32:30 | user=david | ip=198.51.100.77 | location=US | device=Unknown-Host | success=0 | score=-0.0930
2026-03-03 01:32:55 | user=eve | ip=198.51.100.77 | location=US | device=Unknown-Host | success=0 | score=-0.0935
2026-03-03 23:16:00 | user=admin | ip=10.0.0.43 | location=UK | device=Admin-Workstation | success=0 | score=-0.0167
2026-03-04 02:11:10 | user=admin | ip=185.220.101.45 | location=RU | device=Unknown-Host | success=0 | score=-0.0045
2026-03-04 02:11:15 | user=admin | ip=185.220.101.45 | location=RU | device=Unknown-Host | success=0 | score=-0.0091
2026-03-04 02:11:20 | user=admin | ip=185.220.101.45 | location=RU | device=Unknown-Host | success=0 | score=-0.0148
2026-03-04 02:11:25 | user=admin | ip=185.220.101.45 | location=RU | device=Unknown-Host | success=0 | score=-0.0226
2026-03-04 02:11:30 | user=admin | ip=185.220.101.45 | location=RU | device=Unknown-Host | success=0 | score=-0.0245
2026-03-04 02:11:35 | user=admin | ip=185.220.101.45 | location=RU | device=Unknown-Host | success=0 | score=-0.0277
2026-03-04 02:11:40 | user=admin | ip=185.220.101.45 | location=RU | device=Unknown-Host | success=0 | score=-0.0315
2026-03-04 02:11:45 | user=admin | ip=185.220.101.45 | location=RU | device=Unknown-Host | success=0 | score=-0.0407
